R_bc_vol,R_bc_Mass,Eabs_532,Eabs_405,Eabs_632,Core_VED,Core_Volume,Mask_CoatingType
3.679358717,2.657314629,1.504564626,1.504274138,1.458800207,219.5936637,5.54E-15,2
2.644770959,1.91011236,1.374647478,1.317673747,1.259140393,211.368189,4.94E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
5.010989011,3.619047619,1.561476621,1.567886377,1.543127418,223.3431946,5.83E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
7.696527911,5.558603491,NAN,NAN,NAN,204.158632,4.46E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
4.647435897,3.356481481,NAN,NAN,NAN,284.0496169,1.20E-14,2
0.235042735,0.169753086,0.972735863,1.01639978,0.941537943,150.9238797,1.80E-15,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,0.095679012,NAN,NAN,NAN,NAN,NAN,NAN
0.213483146,0.213483146,0.960280657,0.968544007,0.967568959,155.7374132,1.98E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0.319004525,0.319004525,1.026683915,1.05321108,1.01270097,167.3851968,2.46E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0.242503259,0.242503259,0.951964431,1.01613469,1.025399171,201.1444615,4.26E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1.787193974,1.787193974,1.190766542,1.23014333,1.238516199,177.9403599,2.95E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
1.946969697,1.946969697,1.192590974,1.211433665,1.052981015,140.9648823,1.47E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1.216981132,1.216981132,1.143048858,1.173848502,1.170077483,188.9710732,3.53E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3.972972973,3.972972973,1.519558074,1.527451014,1.35066763,157.7527234,2.06E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3.057971014,3.057971014,1.329096885,1.393237338,1.163013097,143.069146,1.53E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
6.309090909,6.309090909,1.492836562,1.487420407,1.489713393,180.0378649,3.06E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
3.842219804,3.842219804,1.565869002,1.544772113,1.711586603,213.639455,5.11E-15,4
5.583463339,5.583463339,1.569433412,1.559727384,NAN,189.4649883,3.56E-15,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,4
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
NAN,NAN,NAN,NAN,NAN,NAN,NAN,0
